school_number,course_title,course_active,course_type
1,Introduction to Product Development,1,Class
1,Computer-Aided Mechanical Design,1,Class
1,Energy Conversion Principles,1,Class
1,Introduction to MEMS Design,1,Class
1,Experiential Advanced Control Design I.,1,Class
1,Advanced Control Systems I.,1,Class
1,Design of Microprocessor-Based Mechanical Systems.,1,Class
1,Advanced Design and Automation,1,Class
1,New Product Development: Design Theory and Methods,1,Class
1,"Topics in Control, Modeling and Optimization",1,Class
1,Introduction to Communication Networks,1,Class
1,Feedback Control Systems.,1,Class
1,"Fundamental Algorithms for Systems Modeling, Analysis, and Optimization",1,Class
1,Mechatronic Design Laboratory.,1,Class
1,Computer-Aided Verification,1,Class
1,Advanced Control Systems I,1,Class
1,Fundamentals of Wireless Communication.,1,Class
1,"Embedded System Design: Models, Validation, and Synthesis.",1,Class
1,Advanced Robotics.,1,Class
1,Computer Security.,1,Class
1,Introduction to Database Systems.,1,Class
1,Quantum Information Science and Technology.,1,Class
1,Social Implications of Computer Technology.,1,Class
1, Concurrent Models of Computation.,1,Class
1, User-Interfaces to Computer Systems.,1,Class
1,Security in Computer Systems.,1,Class
1,Internet and Network Security,1,Class
1,Computer Networks.,1,Class
1,Cryptography.,1,Class
1,Introduction to Design of Human Work Systems and Organizations.,1,Class
1,Supply Chain Operation and Management.,1,Class
1,"Modeling Energy, Environmental, and Resource Systems.",1,Class
1,Photovoltaic Materials; Modern Technologies in the Context of a Growing Renewable Energy Market.,1,Class
1,Electric Power Systems.,1,Class
1,Energy Economics.,1,Class
1,Smart Grids: Introduction,1,Class
1,Smart Grids: Command and Control,1,Class
1,Smart Grids: Energy-Efficient Transmission,1,Class
1,Smart Grids: Internet of Things,1,Class
1,Smart Grids: Metering and Home Area Networks,1,Class
1,Smart Grids: Microgrids,1,Class
1,Introduction to Sustainability Management,1,Class
1,Climate Change and Law AB 32: What It Means for You,1,Class
1,"Energy for Sustainability: Technology, Planning and Policy",1,Class
1,Energy Use and Climate Change,1,Class
1,"Freshman Seminar: The science, technology, policy, and politics of California air pollution",1,Seminar
1,Quantitative aspects of global environment,1,Seminar
1,Ecological economics in historical context,1,Seminar
1,California Water,1,Seminar
