school_number	course_title	course_description	course_active	course_type
1	Introduction to Product Development		1	twoyear
1	Computer-Aided Mechanical Design		1	twoyear
1	Energy Conversion Principles		1	twoyear
1	Introduction to MEMS Design		1	twoyear
1	Experiential Advanced Control Design I.		1	twoyear
1	Advanced Control Systems I.		1	twoyear
1	Design of Microprocessor-Based Mechanical Systems.		1	twoyear
1	Advanced Design and Automation		1	twoyear
1	New Product Development: Design Theory and Methods		1	twoyear
1	"Topics in Control, Modeling and Optimization"		1	twoyear
1	Introduction to Communication Networks		1	twoyear
1	Feedback Control Systems.		1	twoyear
1	"Fundamental Algorithms for Systems Modeling, Analysis, and Optimization"		1	twoyear
1	Mechatronic Design Laboratory.		1	twoyear
1	Computer-Aided Verification		1	twoyear
1	Advanced Control Systems I		1	twoyear
1	Fundamentals of Wireless Communication.		1	twoyear
1	"Embedded System Design: Models, Validation, and Synthesis."		1	twoyear
1	Advanced Robotics.		1	twoyear
1	Computer Security.		1	twoyear
1	Introduction to Database Systems.		1	twoyear
1	Quantum Information Science and Technology.		1	twoyear
1	Social Implications of Computer Technology.		1	twoyear
1	 Concurrent Models of Computation.		1	twoyear
1	 User-Interfaces to Computer Systems.		1	twoyear
1	Security in Computer Systems.		1	twoyear
1	Internet and Network Security		1	twoyear
1	Computer Networks.		1	twoyear
1	Cryptography.		1	twoyear
1	Introduction to Design of Human Work Systems and Organizations.		1	twoyear
1	Supply Chain Operation and Management.		1	twoyear
1	"Modeling Energy, Environmental, and Resource Systems."		1	twoyear
1	Photovoltaic Materials; Modern Technologies in the Context of a Growing Renewable Energy Market.		1	twoyear
1	Electric Power Systems.		1	twoyear
1	Energy Economics.		1	twoyear
1	Smart Grids: Introduction	"Learn about the new intelligent energy grid that supports the green-energy initiatives of the 21st century. Study real-world value propositions, business perspectives and solution scenarios from business economics and technical practicalities points of view."	1	cert
1	Smart Grids: Command and Control	"In this survey course, you first review the communication technology for distribution automation of AC energy and then advance into technology trade-off considerations. You build a foundation for understanding the control network."	1	cert
1	Smart Grids: Energy-Efficient Transmission	learn about the challenges of high-power interconnections and review quality considerations.	1	cert
1	Smart Grids: Internet of Things	"Taking smart energy grids as a model, you investigate topics such as wireless sensor network issues, the role of middleware, radio frequency identification (RFID) and sensor network technologies and security and privacy issues"	1	cert
1	Smart Grids: Metering and Home Area Networks	"Gain a solid technical foundation for understanding smart meters and home power networking, including Open HAN system requirements, modern wireless sensor networks, home automation and ZigBee Smart Energy"	1	cert
1	Smart Grids: Microgrids	"Variety of microgrid topics, including distributed generation, wind, photovoltaics, fuel cells, supervisory control and data acquisition (SCADA) systems, securing smart grids, matching community needs, smart meters and devices."	1	cert
1	Introduction to Sustainability Management	"Sustainability in the context of environmental, economic, and social forces that shape emerging policies and management decisions. Investigate the possibility of creating a common set of sustainability principles"	1	cert
1	Climate Change and Law AB 32: What It Means for You	"Learn requirements set forth in AB 32 and other laws, and gain a solid understanding of related issues."	1	cert
1	"Energy for Sustainability: Technology, Planning and Policy"	"Evaluate policies, regulations, and laws at the local and state level. Learn how energy strategies impact residential and commercial sectors, corporations, and governments. Examine issues in science, technology, policy, law, and business"	1	cert
1	Energy Use and Climate Change	Examine the threat from the lack of significant incentives to change behavior and shift habits toward sustainable energy consumption in the United States. Study the fundamental impacts from current energy use and the support infrastructure.	1	cert
1	"Freshman Seminar: The science, technology, policy, and politics of California air pollution"	"California experiences the nation’s worst air quality. Its innovative regulatory program is a model for the nation and the world. This seminar examines current California air pollution issues including health-based air quality standards and the problems of their attainment, the next generation of clean cars, California’s evolving role in addressing global warming, and more. This seminar is an unusual opportunity to explore air pollution and climate change issues with a professor who also led relevant California regulatory programs."	1	cert
1	Quantitative aspects of global environment	"Application of basic principles of natural science to the analysis of human influence on environmental conditions and processes at continental to global scale. Topics covered include dimensions of the physical world and of human modifications of it; techniques of estimation and back of the envelope calculation; box models of environmental stocks and flows: equilibrium and feedback; chemical equilibria in the environment; nutrient cycles and their disruptions; acid deposition and its consequences; climate change and its consequences; stratospheric ozone depletion; sources, fate and effects of toxic substances in the global environment; radioactivity and radiation; epidemics; biodiversity and its diminution; carrying capacity and human population growth."	1	cert
1	Ecological economics in historical context	"Economists through history have explored economic and environmental interactions, physical limits to growth, what constitutes the good life, and how economic justice can be assured. Yet economists continue to use measures and models that simplify these issues and promote bad outcomes. Ecological economics responds to this tension between the desire for simplicity and the multiple perspectives needed to understand complexity in order to move toward sustainable, fulfilling, just economies"	1	cert
1	California Water	"California, technically a desert on average, provides extremely interesting examples of the politics of water, the social and environmental consequences of water development, and the relationships between water uses and energy. This course provides the historical, legal, environmental, and economic background needed to understand the current social and ecological challenges of providing water for a growing population and major economy, now also made more complex by climate change."	1	cert
1	Behavior and sustainability (ERG Doctoral Student Facilitated)	"The aggregated effects of billions of individual decisions each day have large adverse effects on human and ecosystem health, natural resource stocks, and global climate change. While the causes of environmental degradation are anthropogenic, so too are the solutions. This course examines different perspectives on the motivations of human behavior, drawing on diverse disciplines, including psychology, economics, and sociology. Theories of behavior change and behavioral intervention case studies will inform student efforts to design viable programs that promote improved sustainability through behavior change."	1	cert
1	Photovoltaic materials; modern technologies in the context of a growing renewable energy market	This technical course focuses on the fundamentals of photovoltaic energy conversion with respect to the physical principals of operation and design of efficient semiconductor solar cell devices. This course aims to equip students with the concepts and analytical skills necessary to assess the utility and viability of various modern photovoltaic technologies in the context of a growing global renewable energy market. Also listed as Materials Science and Engineering C226.	1	cert
1	Research methods in social sciences	"This course aims to introduce graduate students to the rich diversity of research methods that social scientists have developed for the empirical aspects of their work. Its primary goal is to encourage critical thinking about the research process: how we ""know,"" how we match research methods to research questions, how we design and conduct our information/data collection, what we assume explicitly and implicitly, and the ethical dilemmas raised by fieldwork-oriented studies. The course will be broad rather than deep; it is a step toward, and not a substitute for, in-depth courses on interviewing or regression analysis or the philosophy of knowledge."	1	cert
1	Energy Economics (Roomshare with ER C180 and EnvEconC180)	This course explores input-output and cost benefit analysis applied to energy; exhaustion theory and economics of energy supply; patterns of energy use; trade-offs in energy conservation; the effect of energy policy on supply and demand; projecting future energy and resource supply and use. Prerequisites: Economics 100A or equivalent; basic calculus or linear algebra.	1	cert
1	Information and Communications Technology for Development	"This seminar reviews current literature and debates regarding Information and Communication Technologies and Development (ICTD). This is an interdisciplinary and practice-oriented field that draws on insights from economics, sociology, engineering, computer science, management, public health, etc."	1	cert
