ID,school_name,school_description,school_image,Region
1,,,,Northern
2,,,,Northern
3,,,,Northern
4,,,,Northern
5,,,,Northern
6,,,,Northern
7,,,,Northern
8,,,,Northern
9,,,,Northern
10,,,,Northern
11,,,,Northern
12,,,,Northern
13,,,,Northern
14,,,,Northern
15,,,,Northern
16,,,,Northern
17,,,,Southern
18,,,,Southern
19,,,,Southern
20,,,,Southern
21,,,,Southern
22,,,,Southern
23,,,,Southern
24,,,,Southern
25,,,,Southern
26,,,,Southern
27,,,,Southern
28,,,,Southern
29,,,,Northern
30,,,,Northern
31,,,,Northern
32,,,,Northern
33,,,,Southern
34,,,,Southern
35,,,,Southern
36,,,,Southern
37,,,,Southern
38,,,,Southern
39,,,,Southern
40,,,,Southern
41,,,,Southern
42,,,,Southern
43,,,,Southern
44,,,,Southern
45,,,,Southern
46,,,,Southern
47,,,,Southern
48,,,,Southern
49,,,,Southern
50,,,,Southern
51,,,,Southern
52,,,,Northern
53,,,,Northern
54,,,,Northern
55,,,,Northern
